date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:16	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b4689-302c%22	https://musicapp.top/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://musicapp.top/musicyt/)
18:21:16	318284/318284	---M--	200	added ('OK')	image/png	etag:%22661d935c-4db4c%22	https://musicapp.top/musicyt/bg-green.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/bg-green.png	(from https://musicapp.top/musicyt/style.css)
18:21:17	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202024%2021:21:13%20GMT	https://musicapp.top/musicyt/amung.us/dynamic.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/amung.us/dynamic.js	(from http://waust.at/d.js)
18:21:17	26278/26278	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651ed192-66a6%22	https://cdn.tynt.com/tc.js	C:/Users/DXP%20HUB/Desktop/Musicapix/cdn.tynt.com/tc.js	(from http://waust.at/d.js)
18:21:17	10992/10992	---MCZ	200	added ('OK')	text/css	etag:W/%22661d936c-3cbc%22	https://musicapp.top/musicyt/etapa2/style.css	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/style.css	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:18	5275/5275	---M--	200	added ('OK')	image/png	etag:%22661d937e-149b%22	https://musicapp.top/musicyt/etapa2/images/favicon.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/images/favicon.png	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:18	16895/16895	---M--	200	added ('OK')	image/png	etag:%22661d937f-41ff%22	https://musicapp.top/musicyt/etapa2/images/MusicPix-preto.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/images/MusicPix-preto.png	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:18	18678/18678	---M--	200	added ('OK')	image/png	etag:%2265b171fd-48f6%22	https://musicapp.top/musicyt/etapa2/images/trofeu.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/images/trofeu.png	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	12581/12581	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Apr%202024%2004:55:59%20GMT	https://musicapp.top/musicyt/vsl/index.html	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/index.html	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	395/395	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9382-1c5%22	https://musicapp.top/musicyt/etapa2/js/hideAllExcept.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/hideAllExcept.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	2124/2124	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9383-b49%22	https://musicapp.top/musicyt/etapa2/js/selectedCard.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/selectedCard.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	215/215	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9383-1ba%22	https://musicapp.top/musicyt/etapa2/js/selectedResponse.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/selectedResponse.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	1355/1355	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9382-70b%22	https://musicapp.top/musicyt/etapa2/js/buttonCheck.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/buttonCheck.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:19	326/326	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9383-177%22	https://musicapp.top/musicyt/etapa2/js/popup.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/popup.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:20	903/903	---MCZ	200	added ('OK')	application/javascript	etag:W/%22661d9384-476%22	https://musicapp.top/musicyt/etapa2/js/sendResponse.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/js/sendResponse.js	(from https://musicapp.top/musicyt/etapa2/index.html)
18:21:20	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Users/DXP%20HUB/Desktop/Musicapix/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:22	2328/2328	---MCZ	200	added ('OK')	text/css	etag:W/%22661d9379-d37%22	https://musicapp.top/musicyt/vsl/style.css	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/style.css	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:22	1468161/1468161	---M-Z	200	added ('OK')	application/javascript	etag:%226421d693-814e4%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/js/all.min.js	C:/Users/DXP%20HUB/Desktop/Musicapix/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/js/all.min.js	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:22	5275/5275	---M--	200	added ('OK')	image/png	etag:%22661d9377-149b%22	https://musicapp.top/musicyt/vsl/favicon.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/favicon.png	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:22	68577/68577	---M--	200	added ('OK')	image/png	etag:%22661d9378-10be1%22	https://musicapp.top/musicyt/vsl/head2.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/head2.png	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:23	675/675	---M--	200	added ('OK')	image/jpeg	etag:%2255279563aa1fee01828028a39bd8b5e0%22	https://images.converteai.net/fd3a4d74-e275-4f48-94a6-1e5cfc6188fe/players/65dd6801277b9400076f45a0/thumbnail.jpg	C:/Users/DXP%20HUB/Desktop/Musicapix/images.converteai.net/fd3a4d74-e275-4f48-94a6-1e5cfc6188fe/players/65dd6801277b9400076f45a0/thumbnail.jpg	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:24	3562/3562	---MCZ	200	added ('OK')	text/javascript	etag:W/%228036d1b1704897c742bcc9b956522443%22	https://scripts.converteai.net/fd3a4d74-e275-4f48-94a6-1e5cfc6188fe/players/65dd6801277b9400076f45a0/player.js	C:/Users/DXP%20HUB/Desktop/Musicapix/scripts.converteai.net/fd3a4d74-e275-4f48-94a6-1e5cfc6188fe/players/65dd6801277b9400076f45a0/player.js	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:24	88056/88056	---M--	200	added ('OK')	image/png	etag:%22661d9387-157f8%22	https://musicapp.top/musicyt/vsl/assets/compra-segura.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/assets/compra-segura.png	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:24	58554/58554	---M--	200	added ('OK')	image/png	etag:%22661d9387-e4ba%22	https://musicapp.top/musicyt/vsl/assets/midia.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/assets/midia.png	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:24	79563/79563	---M--	200	added ('OK')	image/jpeg	etag:%22661d9387-136cb%22	https://musicapp.top/musicyt/vsl/assets/felipe.jpg	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/assets/felipe.jpg	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:24	17854/17854	---M--	200	added ('OK')	image/png	etag:%22661d9379-45be%22	https://musicapp.top/musicyt/vsl/MusicPix-branco.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/MusicPix-branco.png	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:25	4768/4768	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2020:52:10%20GMT	https://musicapp.top/musicyt/vsl/termos.html	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/termos.html	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:25	4644/4644	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2020:52:09%20GMT	https://musicapp.top/musicyt/vsl/privacidade.html	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/privacidade.html	(from https://musicapp.top/musicyt/vsl/index.html)
18:21:25	143/143	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202024%2021:21:21%20GMT	https://musicapp.top/musicyt/vsl/GET	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/vsl/GET	(from https://musicapp.top/musicyt/vsl/index.html)
